tema,posicao_padrao,limite,clausula_vetada,fundamento
foro,"Foro da comarca de Betim/MG, sede da Solara. Nao aceitamos foro em outra comarca sem aprovacao da diretoria.","{""comarca"": ""Betim/MG""}",true,"CPC art. 63 - eleicao de foro por escrito"
limitacao_responsabilidade,"Responsabilidade contratual limitada ao valor dos ultimos 12 meses de faturamento do contrato. Exigimos clausula de limitacao em todo contrato.","{""teto"": ""12 meses de faturamento""}",true,"CC arts. 393 e 402 a 404 - perdas e danos"
multa_moratoria,"Multa por atraso de pagamento de ate 2% sobre o valor devido.","{""pct_max"": 2}",false,"CDC art. 52 par. 1 - multa de mora limitada a 2%"
juros,"Juros de mora de ate 1% ao mes sobre valores em atraso.","{""pct_mes_max"": 1}",false,"CC art. 406 c/c CTN art. 161 par. 1"
multa_rescisoria,"Multa por rescisao imotivada de ate 10% do saldo contratual ou 3 parcelas, o que for menor.","{""pct_max"": 10}",false,"CC art. 408 a 416 - clausula penal"
prazo_pagamento,"Prazo de pagamento de 28 a 45 dias da emissao da nota fiscal.","{""dias_min"": 28, ""dias_max"": 45}",false,""
reajuste,"Reajuste anual por indice oficial (IPCA ou IGP-M), nunca em periodicidade inferior a 12 meses.","{""periodicidade_min_meses"": 12}",false,"Lei 10.192/2001 art. 2 e 3"
garantia,"Garantia de 90 dias para defeitos de fabricacao dos produtos fornecidos.","{""dias_min"": 90}",false,"CDC art. 26 - vicio aparente e oculto"
exclusividade,"So aceitamos exclusividade com contrapartida de volume minimo e prazo determinado.",,true,"CC art. 421 - funcao social do contrato; Lei 4.886/65 art. 31 (representacao)"
rescisao,"Rescisao por qualquer parte com aviso previo de 30 dias; rescisao imediata por descumprimento.","{""aviso_previo_dias"": 30}",false,"CC art. 473 - resilicao unilateral"
confidencialidade,"Confidencialidade mutua, com prazo de 5 anos apos o termino do contrato.","{""anos"": 5}",false,"CC art. 422 - boa-fe objetiva"
lgpd,"Clausula de protecao de dados obrigatoria quando ha tratamento de dados pessoais, com o papel de cada parte e obrigacoes de seguranca.",,false,"Lei 13.709/2018 (LGPD) arts. 6, 37 e 42"
propriedade_intelectual,"Cada parte mantem a titularidade de sua marca, sistemas e materiais. Nao ha cessao de PI sem acordo especifico.",,false,"Lei 9.279/96; Lei 9.610/98"
subcontratacao,"Subcontratacao so mediante aprovacao previa por escrito da Solara.",,false,"CC art. 421"
forca_maior,"Exclusao de responsabilidade apenas por caso fortuito ou forca maior comprovados, com aviso em 5 dias.","{""aviso_dias"": 5}",false,"CC art. 393 e paragrafo unico"
prazo_entrega,"Prazo de entrega de no minimo 2 dias uteis, ou o prazo de reposicao se maior. Multa por atraso de entrega proporcional.","{""dias_min"": 2}",false,"CC art. 389 - inadimplemento"
